
,,,,,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,,,,,,,,,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,,,,,,,,,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,,,,,,,,,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji
,,,,,Bene,,,,,,,,,,,,,,Siege : 9,,,,,,,Blocki,,,,,,,,,,,,,,Siege : 3,,,,,,,Dauni,,,,,,,,,,,,,,Siege : 8,,,,,,,Domji,,,,,,,,,,,,,,Siege : 5


,,,,,Wackel Backel,,,,,,,,,,,,,,Niederlagen : 4,,,,,,,Kastanienbomber,,,,,,,,,,,,,,Niederlagen : 10,,,,,,,Pfundskerle,,,,,,,,,,,,,,Niederlagen : 5,,,,,,,Shining Legends,,,,,,,,,,,,,,Niederlagen : 8
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13

,,Platz 4,,,S,S,S,S,N,N,S,N,S,S,S,N,S,,Kills,⌀,,,Platz 14,,,N,N,N,N,N,S,S,N,N,N,N,S,N,,Kills,⌀,,,Platz ,,,N,S,S,S,N,N,N,S,S,N,S,S,S,,Kills,⌀,,,Platz ,,,N,S,N,S,N,S,N,N,N,S,S,N,N,,Kills,⌀
,Bene,Ogerpon-Gestein,,,1,1,0,3,0,0,,,3,3,1,1,,,13,"1,4",,Blocki,Boreos-Therian,,,0,0,,0,3,3,1,0,1,0,,,,,8,"0,9",,Dauni,Donnersichel,,,0,0,,,1,,1,,4,,0,,4,,10,"1,7",,Domji,Gladimperio,,,1,,0,,0,5,,0,1,,0,,,,7,"1,0"
,Bene,Deoxys-Geschwindigkeit,,,,3,,0,1,,0,1,0,0,0,0,2,,7,"0,9",,Blocki,Ogerpon,,,,3,0,0,0,,1,3,,0,0,,1,,8,"1,0",,Dauni,Zapdos,,,,1,1,2,,0,0,0,1,1,,1,0,,7,"0,9",,Domji,Gortrom,,,2,1,0,,,0,,0,,2,1,1,0,,7,"1,0"
,Bene,Demeteros,,,2,3,0,1,,,0,,,1,2,,,,9,"1,3",,Blocki,Hisui-Viscogon,,,0,4,0,3,,2,2,3,1,,,2,1,,18,"2,3",,Dauni,Primarene,,,0,3,0,,0,2,0,4,1,1,2,,1,,14,"1,4",,Domji,Pixi,,,0,,0,1,,0,0,1,1,0,,0,0,,3,"0,4"
,Bene,Bailonda,,,1,,0,,0,,0,,2,1,,,1,,5,"0,8",,Blocki,Suicune,,,1,0,1,0,0,,0,,0,,0,0,1,,3,"0,4",,Dauni,Scherox,,,0,6,1,1,0,,1,,0,2,3,3,0,,17,"1,9",,Domji,Mamutel,,,0,3,,1,2,,1,1,2,4,1,2,0,,17,"1,9"
,Bene,Granforgita,,,0,0,0,4,,,,0,0,,,,3,,7,"1,2",,Blocki,Panferno,,,0,,1,3,0,0,1,,0,0,0,0,0,,5,"0,6",,Dauni,Terrakium,,,4,1,0,4,1,0,2,4,0,,0,0,0,,16,"1,6",,Domji,Voltolos-Therian,,,0,1,,3,,0,,1,0,1,,,0,,6,"0,9"
,Bene,UHaFnir,,,0,,,0,,0,,0,1,,1,2,,,4,"0,7",,Blocki,Galar-Lahmus,,,,,,,0,,,0,,,,3,,,3,"1,5",,Dauni,Myriador,,,0,,,1,,,,,0,0,,,,,1,"0,3",,Domji,Garados,,,,,1,,0,,,,,,,0,0,,1,"0,5"
,Bene,Bronzong,,,,,,,0,,,0,,1,,0,,,1,"0,3",,Blocki,Axantor,,,0,0,,3,,,,,,,0,,,,3,"0,8",,Dauni,Crimanzo,,,,,1,,,0,1,,,,0,4,,,6,"1,5",,Domji,Bandelby,,,0,0,,0,0,,,,,0,,,,,0,"0,0"
,Bene,Amfira,,,,1,3,,0,1,4,,,,2,3,0,,14,"2,3",,Blocki,Diancie,,,0,0,,,,2,,0,,0,,3,0,,5,"1,0",,Dauni,Zobiris,,,,,,0,,0,,1,,0,,0,,,1,"0,3",,Domji,Skelabra,,,,3,0,2,0,3,1,,0,,2,,,,11,"1,4"
,Bene,Caesurio,,,2,0,3,0,1,2,1,2,,2,0,1,0,,14,"1,4",,Blocki,Donphan,,,,,1,,,4,,,0,1,,,,,6,"1,5",,Dauni,Tenterra,,,,,,0,0,,,,,,,,1,,1,"0,5",,Domji,Kapoera,,,,,,2,0,1,0,,0,1,1,0,,,5,"0,7"
,Bene,Gastrodon,,,,,,,,0,1,0,0,,,,0,,1,"0,3",,Blocki,Rotom,,,,,0,,0,,,,,,0,,,,0,"0,0",,Dauni,Vesprit,,,0,,3,,1,,,1,,,1,0,,,6,"1,2",,Domji,Gewaldro,,,,,,,,,0,,,,,0,,,0,"0,0"
,Bene,Giflor,,,,,,,,,,,,,,,,,0,"0,0",,Blocki,Calamanero,,,,,,,,0,1,0,0,1,1,1,1,,5,"0,8",,Dauni,Ambidiffel,,,,0,,,,0,,1,,0,,,,,1,"0,3",,Domji,Psiana,,,,0,1,,,,0,0,,,1,,1,,3,"0,6"


,,,,,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,King Blex,,,,,,,,,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,,,,,,,,,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,Snomnie,,,,,,,,,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh
,,,,,King Blex,,,,,,,,,,,,,,Siege : 5,,,,,,,Minetube,,,,,,,,,,,,,,Siege : 10,,,,,,,Snomnie,,,,,,,,,,,,,,Siege : 3,,,,,,,Nestfloh,,,,,,,,,,,,,,Siege : 8


,,,,,Cyber End Jugulis,,,,,,,,,,,,,,Niederlagen : 8,,,,,,,Throes Mad,,,,,,,,,,,,,,Niederlagen : 3,,,,,,,Corvi Crushers,,,,,,,,,,,,,,Niederlagen : 10,,,,,,,Böller Brüder,,,,,,,,,,,,,,Niederlagen : 5
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13

,,Platz 11,,,S,N,S,N,N,N,N,N,N,N,S,S,S,,Kills,⌀,,,Platz 2,,,S,S,S,N,S,S,S,S,N,S,N,S,S,,Kills,⌀,,,Platz 12,,,N,N,S,N,S,N,N,N,S,N,N,N,N,,Kills,⌀,,,Platz 3,,,S,S,N,N,S,S,S,S,S,N,S,N,N,,Kills,⌀
,King Blex,Hoopa-Entfesselt,,,0,,,2,,1,0,,0,,1,,3,,7,"1,2",,Minetube,Mew,,,1,,,0,,0,0,2,,1,1,,2,,7,"1,0",,Snomnie,Ogerpon-Wasser,,,0,0,1,4,4,1,1,3,1,2,1,0,0,,18,"1,6",,Nestfloh,Katapuldra,,,1,2,1,0,0,1,4,0,0,0,2,,1,,12,"1,1"
,King Blex,Eisenhand,,,3,1,0,1,0,,1,4,1,0,1,0,1,,13,"1,3",,Minetube,Maskagato,,,1,0,3,0,1,,0,0,2,0,0,,1,,8,"0,8",,Snomnie,Liberlo,,,0,2,,0,0,,0,,3,3,0,,1,,9,"1,1",,Nestfloh,Lumiflora,,,,,1,3,,5,0,2,2,,2,1,0,,16,"2,3"
,King Blex,Eisenrad,,,0,3,4,0,0,,,0,,2,3,2,,,14,"1,8",,Minetube,Despotar,,,1,0,,0,,1,2,,1,3,0,,,,8,"1,0",,Snomnie,Trikephalo,,,,1,2,1,,0,1,,1,2,0,2,,,10,"1,3",,Nestfloh,Impoleon,,,0,,,0,1,0,,0,0,,0,,,,1,"0,1"
,King Blex,Eisenhals,,,1,0,1,2,2,0,0,,1,,1,2,2,,12,"1,3",,Minetube,Grandiras,,,,5,,3,3,,0,,,0,0,,1,,12,"2,0",,Snomnie,Infamomo,,,5,,1,,,,,1,0,,,1,1,,9,"2,3",,Nestfloh,Pamomamo,,,0,,,0,0,,1,1,0,0,0,0,0,,2,"0,3"
,King Blex,Hisui-Arkani,,,,,,,1,1,2,3,0,0,0,,0,,7,"1,0",,Minetube,Stalobor,,,,0,0,,2,1,2,1,0,0,0,,0,,6,"0,7",,Snomnie,Regieleki,,,1,,,1,0,0,,0,,0,2,1,,,5,"0,7",,Nestfloh,Cresselia,,,0,1,,,2,0,,,,0,2,0,,,5,"0,8"
,King Blex,Tentoxa,,,,,0,0,,0,0,,,,,0,0,,0,"0,0",,Minetube,Milotic,,,2,,2,,0,2,,5,0,,,1,0,,12,"2,0",,Snomnie,Florges,,,0,,1,0,,,0,0,,,,,,,1,"0,2",,Nestfloh,Lavados,,,,,0,,1,,0,4,,,,1,2,,8,"2,0"
,King Blex,Porygon-Z,,,4,,,0,,1,,,1,0,,,,,6,"1,2",,Minetube,Panzaeron,,,1,,0,,0,3,2,0,,,0,4,,,10,"1,4",,Snomnie,Schlurm,,,,,0,,0,1,0,1,0,,0,,0,,2,"0,3",,Nestfloh,Irokex,,,,0,,,,0,,1,,0,,,1,,2,"0,5"
,King Blex,Mimigma,,,2,0,1,,1,,,0,,1,,,,,5,"0,8",,Minetube,Curelei,,,,3,1,,,,,,0,,,0,,,4,"1,3",,Snomnie,Meloetta,,,,0,,,,,,,,0,,1,0,,1,"0,5",,Nestfloh,Guardevoir,,,,1,0,0,,,,,2,0,,0,0,,3,"0,6"
,King Blex,Pokusan,,,,,,,,0,,,,,,,,,0,"0,0",,Minetube,Affiti,,,,,,0,,,,,,,,1,,,1,"1,0",,Snomnie,Golgantes,,,,2,,,1,,0,,,,,,,,3,"1,0",,Nestfloh,Pampross,,,,0,,,,2,0,,,2,,,,,4,"1,0"
,King Blex,Fruyal,,,,0,,,,,,0,2,0,0,3,,,5,"1,0",,Minetube,Toxiquak,,,,0,0,,,1,,0,0,4,,1,2,,8,"1,3",,Snomnie,Arktos,,,0,3,1,,1,4,,,1,0,2,4,2,,18,"2,3",,Nestfloh,Ursaring,,,5,,0,,,,,,,,,1,,,6,"3,0"
,King Blex,Britzigel,,,,0,0,,0,,0,0,,,,3,0,,3,"0,6",,Minetube,Traunfugil,,,0,,,1,0,,,,,,,1,,,2,"0,7",,Snomnie,Nockchan,,,,,,1,,0,,1,,,,,,,2,"0,7",,Nestfloh,Arktilas,,,0,4,1,0,2,,1,,2,,0,,,,10,"1,3"


