
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,,1,Ogerpon-Gestein,von,Bene,,GPL,1,1,0,3,0,0,,,3,3,1,1,,13,,Wackel Backel,"12,99","12,99001",,,,,,,,,Ogerpon-Gestein,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,2,Deoxys-Geschwindigkeit,von,Bene,,GPL,,3,,0,1,,0,1,0,0,0,0,2,7,,Wackel Backel,"6,99","6,99001",,,,,,,,,Deoxys-Geschwindigkeit,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,3,Demeteros,von,Bene,,GPL,2,3,0,1,,,0,,,1,2,,,9,,Wackel Backel,"8,993","8,99302",,,,,,,,,Demeteros,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,4,Bailonda,von,Bene,,GPL,1,,0,,0,,0,,2,1,,,1,5,,Wackel Backel,"4,993","4,99302",,,,,,,,,Bailonda,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,5,Granforgita,von,Bene,,GPL,0,0,0,4,,,,0,0,,,,3,7,,Wackel Backel,"6,993","6,99302",,,,,,,,,Granforgita,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,6,UHaFnir,von,Bene,,GPL,0,,,0,,0,,0,1,,1,2,,4,,Wackel Backel,"3,993","3,99303",,,,,,,,,UHaFnir,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,7,Bronzong,von,Bene,,GPL,,,,,0,,,0,,1,,0,,1,,Wackel Backel,"0,996","0,99603",,,,,,,,,Bronzong,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,8,Amfira,von,Bene,,GPL,,1,3,,0,1,4,,,,2,3,0,14,,Wackel Backel,"13,992","13,99203",,,,,,,,,Amfira,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,9,Caesurio,von,Bene,,GPL,2,0,3,0,1,2,1,2,,2,0,1,0,14,,Wackel Backel,"13,988","13,98804",,,,,,,,,Caesurio,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,10,Gastrodon,von,Bene,,GPL,,,,,,0,1,0,0,,,,0,1,,Wackel Backel,"0,995","0,99504",,,,,,,,,Gastrodon,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,11,Giflor,von,Bene,,GPL,,,,,,,,,,,,,,0,,Wackel Backel,0,"0,00005",,,,,,,,,Giflor,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
