
,Teilnehmer- feld,Liga,,Runde 1,,Runde 2,,Runde 3,,Runde 4,,Runde 5,,,,,,,,,,,,,,,,,Liga,Admin Doc,Sheet,Spieler,Teamname,Logo,,GPL,GPL
,Bene,GPL,1,Present,,Dauni,,Bene,,Raizor,,Present,,,,,,,,,,,,,,,,,GPL,https://docs.google.com/spreadsheets/d/1PvCp_Vt5B-p-G5gNRpIBmVJqden55JxPUG1kIL8YI6A/edit?gid=0#gid=0,GPL Season 10,A25:A39,B25:B39,C25:C39,,unfilled,unfilled
,Blocki,GPL,2,Nestfloh,,Raizor,,RobinVGC,,Dauni,,RobinVGC,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Dauni,GPL,3,Minetube,,Bene,,Present,,Nestfloh,,Dauni,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Domji,GPL,4,RobinVGC,,RobinVGC,,Minetube,,Minetube,,Minetube,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,King Blex,GPL,5,Bene,,Minetube,,Nestfloh,,Present,,Raizor,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Minetube,GPL,6,Raizor,,Nestfloh,,Dauni,,RobinVGC,,Bene,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Nestfloh,GPL,7,Dauni,,Present,,Raizor,,Bene,,Nestfloh,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,OGDeniz96,GPL,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Pokgalaxy,GPL,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Present,GPL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Raizor,GPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,RobinVGC,GPL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Sirazoa,GPL,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Snomnie,GPL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,,GPL,,Pokemon 1,Tier 1,Pokemon 2,Tier 2,Pokemon 3,Tier 3,Pokemon 4,Tier 4,Pokemon 5,Tier 5,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Bene,GPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Blocki,GPL,2,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Dauni,GPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Domji,GPL,4,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,King Blex,GPL,5,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Minetube,GPL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Nestfloh,GPL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,OGDeniz96,GPL,8,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Pokgalaxy,GPL,9,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,Present,GPL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,Raizor,GPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,RobinVGC,GPL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,Sirazoa,GPL,13,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,Snomnie,GPL,14,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,3,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,4,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,5,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,6,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,7,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,8,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,9,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,10,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,11,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,12,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,Teilnehmer- feld,Liga,,Runde 1,,Runde 2,,Runde 3,,Runde 4,,Runde 5,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,#REF!,,1,Flixr,,Noah,,Flixr,,Pokegantes,,Bäumchen,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,2,KingLordNiklas,,Franklyn,,Noah,,Bäumchen,,Flixr,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,3,Rudi,,Xatu,,Rudi,,Roggi,,Pokegantes,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,4,Eren,,Roggi,,Xatu,,KingLordNiklas,,Roggi,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,5,Bäumchen,,Pokegantes,,Eren,,Franklyn,,KingLordNiklas,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,6,Pokegantes,,Bäumchen,,Franklyn,,Eren,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,7,Roggi,,Eren,,KingLordNiklas,,Xatu,,Franklyn,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,8,Xatu,,Rudi,,Roggi,,Rudi,,Eren,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,9,Franklyn,,KingLordNiklas,,Bäumchen,,Noah,,Xatu,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
