

,,Ramoth,von ,Minetube,,,,,,,,,,,,,,,,0,3,,3,2,"1,50"
,,Maskagato,von ,Minetube,,1,0,3,0,1,,0,0,2,0,0,,1,,,1,,9,11,"0,82"
,,Despotar,von ,Minetube,,1,0,,0,,1,2,,1,3,0,,,,1,,,9,8,"1,13"
,,Grandiras,von ,Minetube,,,5,,3,3,,0,,,0,0,,1,,,,,12,7,"1,71"
,,Stalobor,von ,Minetube,,,0,0,,2,1,2,1,0,0,0,,0,,3,4,,13,12,"1,08"
,,Milotic,von ,Minetube,,2,,2,,0,2,,5,0,,,1,0,,,2,,14,8,"1,75"
,,Panzaeron,von ,Minetube,,1,,0,,0,3,2,0,,,0,4,,,0,0,,10,9,"1,11"
,,Curelei,von ,Minetube,,,3,1,,,,,,0,,,0,,,,1,,5,5,"1,00"
,,Drifzepeli,von ,Minetube,,,,,,,,,,,,,,,,2,7,,9,2,"4,50"
,,Toxiquak,von ,Minetube,,,0,0,,,1,,0,0,4,,1,2,,,4,,12,9,"1,33"
,,Elevoltek,von ,Minetube,,,,,,,,,,,,,,,,1,,,1,1,"1,00"
,,Mew,von ,Minetube,,1,,,0,,0,0,2,,1,1,,2,,,,,7,7,"1,00"
,,Affiti,von ,Minetube,,,,,0,,,,,,,,1,,,,,,1,2,"0,50"
,,Traunfugil,von ,Minetube,,0,,,1,0,,,,,,,1,,,,,,2,3,"0,67"
,,,von ,Minetube,,,,,,,,,,,,,,,,,,,0,0
,,,von ,Minetube,,,,,,,,,,,,,,,,,,,0,0
,,Snieboss,von ,Raizor,,0,0,0,,0,0,1,0,2,0,2,1,4,1,3,2,,16,14,"1,14"
,,Knakrack,von ,Raizor,,,,,,,,,,,,,,,0,4,5,,9,3,"3,00"
,,Servol-w,von ,Raizor,,,0,,0,,0,,0,0,0,,0,,,0,0,,0,9,"0,00"
,,Fiaro,von ,Raizor,,,,,,,,,,,,,,,,0,,,0,1,"0,00"
,,Eisenhaupt,von ,Raizor,,3,,,,,,0,3,0,,2,7,0,0,,1,,16,8,"2,00"
,,Turtok,von ,Raizor,,,0,,0,,,,,1,,1,,,,,0,,2,5,"0,40"
,,Feelinara,von ,Raizor,,,,,,,,,,,,,,,3,,,,3,1,"3,00"
,,Zoroark,von ,Raizor,,,,,,,,,,,,,,,1,3,1,,5,3,"1,67"
,,Silvarro,von ,Raizor,,,0,0,,2,,0,,,0,0,0,,,,,,2,7,"0,29"
,,Alola-Raichu,von ,Raizor,,,,,,,,,,,,,,,,0,,,0,1,"0,00"
,,Hisui-Arktilas,von ,Raizor,,0,,1,1,0,1,0,2,2,,1,,0,1,,0,,9,11,"0,82"
,,Cupidos-Therian,von ,Raizor,,0,1,0,4,,,,,,,0,,,,,,,5,4,"1,25"
,,Ursaluna,von ,Raizor,,3,3,2,3,0,4,0,,,3,,0,2,,,,,20,9,"2,22"
,,Entei,von ,Raizor,,,,,,3,,0,1,,0,,,0,,,,,4,5,"0,80"
,,Voltrean,von ,Raizor,,0,,1,,,0,,,,,,,0,,,,,1,3,"0,33"
,,Alola-Snobilikat,von ,Raizor,,,,,0,1,0,,2,1,1,,0,,,,,,5,7,"0,71"
,,Demeteros-Therian,von ,Present,,2,,,,1,1,1,2,1,0,2,0,1,2,1,,,14,11,"1,27"
,,Eisenkrieger,von ,Present,,,,,,,,,,,,,,,0,1,1,,2,3,"0,67"
,,Arkani,von ,Present,,,1,2,0,,,,2,1,,,6,,1,,1,,14,8,"1,75"
,,Rotom-Wash,von ,Present,,0,,1,2,0,1,,2,0,1,1,,0,,0,2,,10,11,"0,91"
,,Eisenhals,von ,Present,,,,,,,,,,,,,,,2,1,0,,3,3,"1,00"
,,Beatori,von ,Present,,,2,,0,1,0,0,0,2,,0,,,0,,3,,8,10,"0,80"
,,Kobalium,von ,Present,,0,,,5,,0,1,1,1,0,2,,,,0,5,,15,9,"1,67"
,,Mopex,von ,Present,,,0,0,,1,,1,,,,1,,,,,,,3,5,"0,60"
,,Rizeros,von ,Present,,0,5,0,1,2,4,1,,1,3,0,1,2,3,1,6,,30,14,"2,14"
,,Horrerba,von ,Present,,,,,,,,,,,,,,,,,5,,5,1,"5,00"
,,Mottineva,von ,Present,,,,,,,,2,,,,,,0,,,,,2,2,"1,00"
,,Dragoran,von ,Present,,0,,0,,1,2,,,,,,1,0,,,,,4,5,"0,80"
,,Tengulist,von ,Present,,,1,2,,,,,0,,3,,2,,,,,,8,5,"1,60"
,,Zytomega,von ,Present,,0,0,,0,,,,,,1,,0,3,,,,,4,5,"0,80"
,,,von ,Present,,,,,,,,,,,,,,,,,,,0,0
,,,von ,Present,,,,,,,,,,,,,,,,,,,0,0
,,Donnersichel,von ,Dauni,,0,0,,,1,,1,,4,,0,,4,0,,,,10,7,"1,43"
,,Ogerpon,von ,Dauni,,,,,,,,,,,,,,,,,,,0,0
,,Primarene,von ,Dauni,,0,3,0,,0,2,0,4,1,1,2,,1,,,,,14,10,"1,40"
,,Krarmor,von ,Dauni,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
,,Terrakium,von ,Dauni,,4,1,0,4,1,0,2,4,0,,0,0,0,0,,,,16,12,"1,33"
,,Sandfell,von ,Dauni,,,,,,,,,,,,,,,3,,,,3,1,"3,00"
,,Crimanzo,von ,Dauni,,,,1,,,0,1,,,,0,4,,,,,,6,5,"1,20"
,,Zobiris,von ,Dauni,,,,,0,,0,,1,,0,,0,,,,,,1,5,"0,20"
