
,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,4,,,,,,,,5,,,,,,,,6,,,,,,,,7,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,7,,,,,,,,8,,,,,,,,9,,,,,,,,10
,,Spieltag 1,,,Bene,2,:,0,Dauni,,,,King Blex,4,:,0,OGDeniz96,,,,Minetube,1,:,0,Pokgalaxy,,,,RobinVGC,4,:,0,Snomnie,,,,Blocki,0,:,5,Nestfloh,,,,Domji,0,:,5,Sirazoa,,,,Raizor,4,:,0,Present,,,,,X,:,X,,,,,,X,:,X,,,,,,,,,,,,,,,,,,,X,:,X,,,,,,X,:,X,,,,,,X,:,X,,,,,,X,:,X,,,,,,X,:,X
,,,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,,,,,,,,,,,,,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG,,BG,,,,,,BG
S-Tier-0,1,,,,Ogerpon-Gestein,1,,0,Donnersichel,,,,Hoopa-Entfesselt,0,,3,Eisenkrieger,,,,Mew,1,,0,Knakrack,,,,Latios,1,,0,Ogerpon-Wasser,,,,Boreos-Therian,0,,1,Katapuldra,,,,Gladimperio,1,,1,Riesenzahn,,,,Snieboss,0,,2,Demeteros-Therian
S-Tier-1,1,,,,Deoxys-Geschwindigkeit,,,,Zapdos,,,,Eisenhand,3,,0,Eisenfalter,,,,Maskagato,1,,3,Galar-Laschoking,,,,Cupidos,,,0,Liberlo,,,,Ogerpon,,,,Lumiflora,,,,Gortrom,2,,,Jirachi,,,,Ursaluna,3,,0,Dragoran
A-Tier-0,1,,,,Demeteros,2,,0,Primarene,,,,Eisenrad,0,,,Laschoking,,,,Despotar,1,,0,Krarmor,,,,Fatalitcha,4,,,Trikephalo,,,,Hisui-Viscogon,0,,0,Impoleon,,,,Pixi,0,,4,Alola-Vulnona,,,,Servol-w,,,,Arkani
A-Tier-1,1,,,,Bailonda,1,,0,Scherox,,,,Eisenhals,1,,,Metagross,,,,Grandiras,,,1,Keldeo,,,,Wie-Shu,0,,5,Infamomo,,,,Suicune,1,,0,Pamomamo,,,,Mamutel,0,,,Brutalanda,,,,Entei,,,0,Rotom-Wash
A-Tier-2,1,,,,Granforgita,0,,4,Terrakium,,,,Hisui-Arkani,,,0,Hisui-Admurai,,,,Stalobor,,,1,Snibunna,,,,Raikou,,,1,Regieleki,,,,Panferno,0,,0,Cresselia,,,,Voltolos-Therian,0,,1,Volcanion,,,,Eisenhaupt,3,,0,Zytomega
B-Tier-0,1,,,,UHaFnir,0,,0,Myriador,,,,Tentoxa,,,1,Grypheldis,,,,Milotic,2,,,Feelinara,,,,Rabigator,0,,0,Florges,,,,Galar-Lahmus,,,,Lavados,,,,Garados,,,,Aquana,,,,Turtok,,,,Beatori
B-Tier-1,1,,,,Bronzong,,,,Crimanzo,,,,Porygon-Z,4,,2,Sandfell,,,,Panzaeron,1,,,Relaxo,,,,Aggrostella,,,,Schlurm,,,,Axantor,0,,,Irokex,,,,Bandelby,0,,,Riffex,,,,Cupidos-Therian,0,,0,Kobalium
B-Tier-2,1,,,,Amfira,,,,Zobiris,,,,Mimigma,2,,,Polaross,,,,Curelei,,,0,Rotom-Heat,,,,Registeel,4,,,Meloetta,,,,Diancie,0,,,Guardevoir,,,,Skelabra,,,2,Kolowal,,,,Voltrean,0,,,Mopex
C-Tier-0,1,,,,Caesurio,2,,,Tenterra,,,,Pokusan,,,0,Piepi,,,,Affiti,,,,Horrerba,,,,Montecarbo,,,,Golgantes,,,,Donphan,,,,Pampross,,,,Kapoera,,,,Chimstix,,,,Silvarro,,,0,Rizeros
C-Tier-1,1,,,,Gastrodon,,,0,Vesprit,,,,Fruyal,,,,Chillabell,,,,Toxiquak,,,,Wampitz,,,,Illumise,1,,0,Arktos,,,,Rotom,,,5,Ursaring,,,,Gewaldro,,,0,Skorgla,,,,Alola-Snobilikat,,,,Tengulist
D-Tier-0,1,,,,Giflor,,,,Ambidiffel,,,,Britzigel,,,,Trombork,,,,Traunfugil,0,,,Rameidon,,,,Kronjuwild,,,,Nockchan,,,,Calamanero,,,0,Arktilas,,,,Psiana,,,0,Morpeko,,,,Hisui-Arktilas,0,,,Mottineva
Slot 12,1
,,,,,2,2,,-2,-2,,,,4,4,,-4,-4,,,,1,1,,-1,-1,,,,4,4,,-4,-4,,,,-5,-5,,5,5,,,,-5,-5,,5,5,,,,4,4,,-4,-4,,,,X,X,,X,X,,,,X,X,,X,X,,,,,,,,,,,,,,,,,X,X,,X,X,,,,X,X,,X,X,,,,X,X,,X,X,,,,X,X,,X,X,,,,X,X,,X,X
Spieltag 1,,,,,Ogerpon-Gestein von Bene_Spieltag 1,1,Spieltag 1Bene vs Dauni,Link,Donnersichel von Dauni_Spieltag 1,0,,,Hoopa-Entfesselt von King Blex_Spieltag 1,0,Spieltag 1King Blex vs OGDeniz96,Link,Eisenkrieger von OGDeniz96_Spieltag 1,3,,,Mew von Minetube_Spieltag 1,1,Spieltag 1Minetube vs Pokgalaxy,Link,Knakrack von Pokgalaxy_Spieltag 1,0,,,Latios von RobinVGC_Spieltag 1,1,Spieltag 1RobinVGC vs Snomnie,Link,Ogerpon-Wasser von Snomnie_Spieltag 1,0,,,Boreos-Therian von Blocki_Spieltag 1,0,Spieltag 1Blocki vs Nestfloh,Link,Katapuldra von Nestfloh_Spieltag 1,1,,,Gladimperio von Domji_Spieltag 1,1,Spieltag 1Domji vs Sirazoa,Link,Riesenzahn von Sirazoa_Spieltag 1,1,,,Snieboss von Raizor_Spieltag 1,0,Spieltag 1Raizor vs Present,Link,Demeteros-Therian von Present_Spieltag 1,2
,,,,,Deoxys-Geschwindigkeit von Bene_Spieltag 1,,,,Zapdos von Dauni_Spieltag 1,,,,Eisenhand von King Blex_Spieltag 1,3,,,Eisenfalter von OGDeniz96_Spieltag 1,0,,,Maskagato von Minetube_Spieltag 1,1,,,Galar-Laschoking von Pokgalaxy_Spieltag 1,3,,,Cupidos von RobinVGC_Spieltag 1,,,,Liberlo von Snomnie_Spieltag 1,0,,,Ogerpon von Blocki_Spieltag 1,,,,Lumiflora von Nestfloh_Spieltag 1,,,,Gortrom von Domji_Spieltag 1,2,,,Jirachi von Sirazoa_Spieltag 1,,,,Ursaluna von Raizor_Spieltag 1,3,,,Dragoran von Present_Spieltag 1,0
,,,,,Demeteros von Bene_Spieltag 1,2,,,Primarene von Dauni_Spieltag 1,0,,,Eisenrad von King Blex_Spieltag 1,0,,,Laschoking von OGDeniz96_Spieltag 1,,,,Despotar von Minetube_Spieltag 1,1,,,Krarmor von Pokgalaxy_Spieltag 1,0,,,Fatalitcha von RobinVGC_Spieltag 1,4,,,Trikephalo von Snomnie_Spieltag 1,,,,Hisui-Viscogon von Blocki_Spieltag 1,0,,,Impoleon von Nestfloh_Spieltag 1,0,,,Pixi von Domji_Spieltag 1,0,,,Alola-Vulnona von Sirazoa_Spieltag 1,4,,,Servol-w von Raizor_Spieltag 1,,,,Arkani von Present_Spieltag 1
,,,,,Bailonda von Bene_Spieltag 1,1,,,Scherox von Dauni_Spieltag 1,0,,,Eisenhals von King Blex_Spieltag 1,1,,,Metagross von OGDeniz96_Spieltag 1,,,,Grandiras von Minetube_Spieltag 1,,,,Keldeo von Pokgalaxy_Spieltag 1,1,,,Wie-Shu von RobinVGC_Spieltag 1,0,,,Infamomo von Snomnie_Spieltag 1,5,,,Suicune von Blocki_Spieltag 1,1,,,Pamomamo von Nestfloh_Spieltag 1,0,,,Mamutel von Domji_Spieltag 1,0,,,Brutalanda von Sirazoa_Spieltag 1,,,,Entei von Raizor_Spieltag 1,,,,Rotom-Wash von Present_Spieltag 1,0
,,,,,Granforgita von Bene_Spieltag 1,0,,,Terrakium von Dauni_Spieltag 1,4,,,Hisui-Arkani von King Blex_Spieltag 1,,,,Hisui-Admurai von OGDeniz96_Spieltag 1,0,,,Stalobor von Minetube_Spieltag 1,,,,Snibunna von Pokgalaxy_Spieltag 1,1,,,Raikou von RobinVGC_Spieltag 1,,,,Regieleki von Snomnie_Spieltag 1,1,,,Panferno von Blocki_Spieltag 1,0,,,Cresselia von Nestfloh_Spieltag 1,0,,,Voltolos-Therian von Domji_Spieltag 1,0,,,Volcanion von Sirazoa_Spieltag 1,1,,,Eisenhaupt von Raizor_Spieltag 1,3,,,Zytomega von Present_Spieltag 1,0
,,,,,UHaFnir von Bene_Spieltag 1,0,,,Myriador von Dauni_Spieltag 1,0,,,Tentoxa von King Blex_Spieltag 1,,,,Grypheldis von OGDeniz96_Spieltag 1,1,,,Milotic von Minetube_Spieltag 1,2,,,Feelinara von Pokgalaxy_Spieltag 1,,,,Rabigator von RobinVGC_Spieltag 1,0,,,Florges von Snomnie_Spieltag 1,0,,,Galar-Lahmus von Blocki_Spieltag 1,,,,Lavados von Nestfloh_Spieltag 1,,,,Garados von Domji_Spieltag 1,,,,Aquana von Sirazoa_Spieltag 1,,,,Turtok von Raizor_Spieltag 1,,,,Beatori von Present_Spieltag 1
,,,,,Bronzong von Bene_Spieltag 1,,,,Crimanzo von Dauni_Spieltag 1,,,,Porygon-Z von King Blex_Spieltag 1,4,,,Sandfell von OGDeniz96_Spieltag 1,2,,,Panzaeron von Minetube_Spieltag 1,1,,,Relaxo von Pokgalaxy_Spieltag 1,,,,Aggrostella von RobinVGC_Spieltag 1,,,,Schlurm von Snomnie_Spieltag 1,,,,Axantor von Blocki_Spieltag 1,0,,,Irokex von Nestfloh_Spieltag 1,,,,Bandelby von Domji_Spieltag 1,0,,,Riffex von Sirazoa_Spieltag 1,,,,Cupidos-Therian von Raizor_Spieltag 1,0,,,Kobalium von Present_Spieltag 1,0
,,,,,Amfira von Bene_Spieltag 1,,,,Zobiris von Dauni_Spieltag 1,,,,Mimigma von King Blex_Spieltag 1,2,,,Polaross von OGDeniz96_Spieltag 1,,,,Curelei von Minetube_Spieltag 1,,,,Rotom-Heat von Pokgalaxy_Spieltag 1,0,,,Registeel von RobinVGC_Spieltag 1,4,,,Meloetta von Snomnie_Spieltag 1,,,,Diancie von Blocki_Spieltag 1,0,,,Guardevoir von Nestfloh_Spieltag 1,,,,Skelabra von Domji_Spieltag 1,,,,Kolowal von Sirazoa_Spieltag 1,2,,,Voltrean von Raizor_Spieltag 1,0,,,Mopex von Present_Spieltag 1
,,,,,Caesurio von Bene_Spieltag 1,2,,,Tenterra von Dauni_Spieltag 1,,,,Pokusan von King Blex_Spieltag 1,,,,Piepi von OGDeniz96_Spieltag 1,0,,,Affiti von Minetube_Spieltag 1,,,,Horrerba von Pokgalaxy_Spieltag 1,,,,Montecarbo von RobinVGC_Spieltag 1,,,,Golgantes von Snomnie_Spieltag 1,,,,Donphan von Blocki_Spieltag 1,,,,Pampross von Nestfloh_Spieltag 1,,,,Kapoera von Domji_Spieltag 1,,,,Chimstix von Sirazoa_Spieltag 1,,,,Silvarro von Raizor_Spieltag 1,,,,Rizeros von Present_Spieltag 1,0
