,,,,,,,,,,,,,,,,,,,,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10
,,,,,,,1,2,3,,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10
,,,,,Spieltag 1,,Spieltag 1Bene vs Dauni,Spieltag 1King Blex vs OGDeniz96,Spieltag 1Minetube vs Pokgalaxy,,Spieltag 1RobinVGC vs Snomnie,Spieltag 1Blocki vs Nestfloh,Spieltag 1Domji vs Sirazoa,Spieltag 1Raizor vs Present,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 2,,Spieltag 2Pokgalaxy vs RobinVGC,Spieltag 2Dauni vs Blocki,Spieltag 2Sirazoa vs Minetube,,Spieltag 2King Blex vs Bene,Spieltag 2OGDeniz96 vs Domji,Spieltag 2Present vs Snomnie,Spieltag 2Nestfloh vs Raizor,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 3,,Spieltag 3Pokgalaxy vs Sirazoa,Spieltag 3Raizor vs Dauni,Spieltag 3Bene vs Domji,,Spieltag 3Blocki vs King Blex,Spieltag 3Snomnie vs Nestfloh,Spieltag 3Minetube vs OGDeniz96,Spieltag 3RobinVGC vs Present,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 4,,Spieltag 4OGDeniz96 vs Pokgalaxy,Spieltag 4King Blex vs Raizor,Spieltag 4Nestfloh vs Present,,Spieltag 4Minetube vs Bene,Spieltag 4Dauni vs Snomnie,Spieltag 4Sirazoa vs RobinVGC,Spieltag 4Domji vs Blocki,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 5,,Spieltag 5RobinVGC vs Nestfloh,Spieltag 5Bene vs Pokgalaxy,Spieltag 5Blocki vs Minetube,,Spieltag 5Snomnie vs King Blex,Spieltag 5Present vs Dauni,Spieltag 5Sirazoa vs OGDeniz96,Spieltag 5Raizor vs Domji,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 6,,Spieltag 6Minetube vs Raizor,Spieltag 6Dauni vs Nestfloh,Spieltag 6Domji vs Snomnie,,Spieltag 6Sirazoa vs Bene,Spieltag 6Pokgalaxy vs Blocki,Spieltag 6King Blex vs Present,Spieltag 6OGDeniz96 vs RobinVGC,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 7,,Spieltag 7Raizor vs Pokgalaxy,Spieltag 7Bene vs OGDeniz96,Spieltag 7Nestfloh vs King Blex,,Spieltag 7Present vs Domji,Spieltag 7Blocki vs Sirazoa,Spieltag 7Snomnie vs Minetube,Spieltag 7RobinVGC vs Dauni,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 8,,Spieltag 8Sirazoa vs Raizor,Spieltag 8Minetube vs Present,Spieltag 8Pokgalaxy vs Snomnie,,Spieltag 8OGDeniz96 vs Blocki,Spieltag 8Domji vs Nestfloh,Spieltag 8Bene vs RobinVGC,Spieltag 8King Blex vs Dauni,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 9,,Spieltag 9Present vs Pokgalaxy,Spieltag 9Snomnie vs Sirazoa,Spieltag 9Dauni vs Domji,,Spieltag 9Raizor vs OGDeniz96,Spieltag 9Blocki vs Bene,Spieltag 9Nestfloh vs Minetube,Spieltag 9RobinVGC vs King Blex,,,,#N/A,#N/A,Link,Link,Link,Link,Link,Link,Link
,,,,,Spieltag 10,,Spieltag 10Blocki vs RobinVGC,Spieltag 10Sirazoa vs Present,Spieltag 10Pokgalaxy vs Nestfloh,,Spieltag 10Domji vs King Blex,Spieltag 10Minetube vs Dauni,Spieltag 10Bene vs Raizor,Spieltag 10OGDeniz96 vs Snomnie,,,,#N/A,#N/A,,,,,,,,,,,,,,,,Spieltag 10,,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Spieltag 10,,#N/A,#N/A,#N/A,,#N/A,#N/A
,,,,,Spieltag 11,,Spieltag 11RobinVGC vs Domji,Spieltag 11Raizor vs Blocki,Spieltag 11Nestfloh vs Sirazoa,,Spieltag 11Snomnie vs Bene,Spieltag 11Dauni vs Pokgalaxy,Spieltag 11Present vs OGDeniz96,Spieltag 11King Blex vs Minetube
,,,,,Spieltag 12,,Spieltag 12Pokgalaxy vs King Blex,Spieltag 12Bene vs Present,Spieltag 12Minetube vs Domji,,Spieltag 12Raizor vs RobinVGC,Spieltag 12OGDeniz96 vs Nestfloh,Spieltag 12Sirazoa vs Dauni,Spieltag 12Blocki vs Snomnie
,,,,,Spieltag 13,,Spieltag 13Dauni vs OGDeniz96,Spieltag 13King Blex vs Sirazoa,Spieltag 13Present vs Blocki,,Spieltag 13Domji vs Pokgalaxy,Spieltag 13Nestfloh vs Bene,Spieltag 13RobinVGC vs Minetube,Spieltag 13Snomnie vs Raizor

,,,,,Spieltag 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spieltag 2,,,,,,,,,,,,,Spieltag 3

,,,,,,Samstag - 04.10.25 (Live Event),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonntag - 12.10.25,,,,,,,,,,,,,Sonntag - 19.10.25
,Spieltag 1,1,Spieltag 1Bene vs Dauni,,,Bene,,:,,Dauni,,,,,,,,,,,,,,,,,,,,,Spieltag 2,1,Spieltag 2Pokgalaxy vs RobinVGC,,,Pokgalaxy,,:,,RobinVGC,,,,Spieltag 3,1,Spieltag 3Pokgalaxy vs Sirazoa,,,Pokgalaxy,,:,,Sirazoa
,,,#N/A,,,Link zu Bene ,Einzel,,,Link zu Dauni,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Pokgalaxy,12 Uhr,,,Sicht von RobinVGC,,,,,,#N/A,,,Sicht von Pokgalaxy,12 Uhr,,,Sicht von Sirazoa
,Spieltag 1,2,Spieltag 1King Blex vs OGDeniz96,,,King Blex,,:,,OGDeniz96,,,,,,,,,,,,,,,,,,,,,Spieltag 2,2,Spieltag 2Dauni vs Blocki,,,Dauni,,:,,Blocki,,,,Spieltag 3,2,Spieltag 3Raizor vs Dauni,,,Raizor,,:,,Dauni
,,,#N/A,,,Link zu King Blex,VGC,,,Link zu DenizderZweite,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Dauni,13 Uhr,,,Sicht von Blocki,,,,,,#N/A,,,Sicht von Raizor,13 Uhr,,,Sicht von Dauni
,Spieltag 1,3,Spieltag 1Minetube vs Pokgalaxy,,,Minetube,,:,,Pokgalaxy,,,,,,,,,,,,,,,,,,,,,Spieltag 2,3,Spieltag 2Sirazoa vs Minetube,,,Sirazoa,,:,,Minetube,,,,Spieltag 3,3,Spieltag 3Bene vs Domji,,,Bene,,:,,Domji
,,,#N/A,,,Link zu Minetube,Einzel,,,Link zu Pokgalaxy,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Sirazoa,14 Uhr,,,Sicht von Minetube,,,,,,#N/A,,,Sicht von Bene ,14 Uhr,,,Sicht von Domji
,Spieltag 1,4,Spieltag 1RobinVGC vs Snomnie,,,RobinVGC,,:,,Snomnie,,,,,,,,,,,,,,,,,,,,,Spieltag 2,4,Spieltag 2King Blex vs Bene,,,King Blex,,:,,Bene,,,,Spieltag 3,4,Spieltag 3Blocki vs King Blex,,,Blocki,,:,,King Blex
,,,#N/A,,,Link zu BonusRobin,VGC,,,Link zu Snomnie,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von King Blex,15 Uhr,,,Sicht von Bene ,,,,,,#N/A,,,Sicht von Blocki,15 Uhr,,,Sicht von King Blex
,Spieltag 1,5,Spieltag 1Blocki vs Nestfloh,,,Blocki,,:,,Nestfloh,,,,,,,,,,,,,,,,,,,,,Spieltag 2,5,Spieltag 2OGDeniz96 vs Domji,,,OGDeniz96,,:,,Domji,,,,Spieltag 3,5,Spieltag 3Snomnie vs Nestfloh,,,Snomnie,,:,,Nestfloh
,,,#N/A,,,Link zu Blocki,Einzel,,,Link zu Flobert,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Deniz,16 Uhr,,,Sicht von Domji,,,,,,#N/A,,,Sicht von Snomnie,16 Uhr,,,Sicht von Nestfloh
,,,,,,Eiskaskaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eiskaskaden,,,,,,,,,,,,,Eiskaskaden
,Spieltag 1,6,Spieltag 1Domji vs Sirazoa,,,Domji,,:,,Sirazoa,,,,,,,,,,,,,,,,,,,,,Spieltag 2,6,Spieltag 2Present vs Snomnie,,,Present,,:,,Snomnie,,,,Spieltag 3,6,Spieltag 3Minetube vs OGDeniz96,,,Minetube,,:,,OGDeniz96
,,,#N/A,,,Link zu Domji,VGC,,,Link zu Sirazoa,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Present,17 Uhr,,,Sicht von Snomnie,,,,,,#N/A,,,Sicht von Minetube,17 Uhr,,,Sicht von Deniz
,Spieltag 1,7,Spieltag 1Raizor vs Present,,,Raizor,,:,,Present,,,,,,,,,,,,,,,,,,,,,Spieltag 2,7,Spieltag 2Nestfloh vs Raizor,,,Nestfloh,,:,,Raizor,,,,Spieltag 3,7,Spieltag 3RobinVGC vs Present,,,RobinVGC,,:,,Present
,,,#N/A,,,Link zu Raizor Gaming,Einzel,,,Link zu PresPres,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Nestfloh,18 Uhr,,,Sicht von Raizor,,,,,,#N/A,,,Sicht von Robin,18 Uhr,,,Sicht von Present
,Spieltag 1,8,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 2,8,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 3,8,,,,#VALUE!,,:,,#VALUE!
,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,#N/A
,Spieltag 1,9,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 2,9,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 3,9,,,,#VALUE!,,:,,#VALUE!
,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,#N/A
,Spieltag 1,10,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 2,10,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 3,10,,,,#VALUE!,,:,,#VALUE!

