

,,S tier (2 Picks),,,,A tier (3 Picks),,,,B tier (3 Picks),,,,C tier (1/2 Picks),,,,D tier (1/2 Pick),,,,,Ban

,,,Boreos,,,,Alola-Vulnona,,,,Aggrostella,,,,Affiti,,,,Adebom,,,,Arceus,,,,,Ursaluna
,,,Boreos-Therian,,,,Arkani,,,,Amfira,,,,Alola-Raichu,,,,Admurai,,,,Baojian,,,,,Rizeros
,,,Cupidos,,,,Azugladis,,,,Aquana,,,,Alola-Sleimok,,,,Agiluza,,,,Briduradon,,,,,Arktos
,,,Demeteros-Therian,,,,Azumarill,,,,Aranestro,,,,Alola-Snobilikat,,,,Alola-Geowaz,,,,Darkrai,,,,,Hisui-Viscogon
,,,Deoxys-Geschwindigkeit,,,,Bailonda,,,,Axantor,,,,Altaria,,,,Alola-Kokowei,,,,Delfinator,,,,,Montecarbo
,,,Deoxys-Verteidigung,,,,Barrakiefa,,,,Bandelby,,,,Arktos,,,,Alola-Sandamer,,,,Deoxys,,,,,Ogerpon-Wasser
,,,Dinglu,,,,Benesaru,,,,Beatori,,,,Austos,,,,Alpollo,,,,Deoxys-Angriff,,,,,Wampitz
,,,Donnersichel,,,,Bojelin,,,,Bisaflor,,,,Baldorfish,,,,Ambidiffel,,,,Dialga,,,,,Scherox
,,,Dragoran,,,,Boninu,,,,Brigaron,,,,Blitza,,,,Ampharos,,,,Eisenbündel,,,,,Mamutel
,,,Eisenfalter,,,,Brüllschweif,,,,Bronzong,,,,Caesurio,,,,Arbok,,,,Endynalos,,,,,Lumiflora
,,,Eisenfels,,,,Brutalanda,,,,Chongjian,,,,Chaneira,,,,Ariados,,,,Espinodon,,,,,Knakrack
,,,Eisenhand,,,,Cresselia,,,,Choreogel-Buyo,,,,Chelterrar,,,,Arktilas,,,,Flatterhaar,,,,,Terrakium
,,,Eisenkrieger,,,,Demeteros,,,,Choreogel-Cheerleading,,,,Chillabell,,,,Backel,,,,Furienblitz,,,,,Eisenkrieger
,,,Epitaff,,,,Despotar,,,,Choreogel-Flamenco,,,,Chimstix,,,,Banette,,,,Giratina,,,,,Eisenhaupt
,,,Fuegro,,,,Eisenhals,,,,Choreogel-Hula,,,,Donarion,,,,Barschuft,,,,Groudon,,,,,Wie-Shu
,,,Galar-Laschoking,,,,Eisenhaupt,,,,Clavion,,,,Donphan,,,,Blubella,,,,Ho-oh,,,,,Amfira
,,,Galar-Zapdos,,,,Eisenrad,,,,Crimanzo,,,,Dressella,,,,Bollterus,,,,Keilflamme,,,,,Polaross
,,,Gladimperio,,,,Elfun,,,,Cupidos-Therian,,,,Drifzepeli,,,,Botogel,,,,Koraidon,,,,,Eisenrad
,,,Gortrom,,,,Entei,,,,Curelei,,,,Dummimisel,,,,Britzigel,,,,Kyogre,,,,,Alola-Vulnona
,,,Heatran,,,,Famieps,,,,Diancie,,,,Duraludon,,,,Calamanero,,,,Kyurem,,,,,Primarene
,,,Heerashai,,,,Farbeagle,,,,Ditto,,,,Elektek,,,,Camerupt,,,,Kyurem-Schwarz,,,,,Caesurio
,,,Hoopa-Entfesselt,,,,Fatalitcha,,,,Eisenblatt,,,,Fennexis,,,,Chevrumm,,,,Kyurem-Weiß,,,,,Ogerpon-Gestein
,,,Hutsassa,,,,Fiaro,,,,Eisendorn,,,,Flambirex,,,,Colossand,,,,Lugia,,,,,Eisenhand
,,,Jirachi,,,,Galagladi,,,,Farigiraf,,,,Forstellka,,,,Coronospa,,,,Lunala,,,,,Arkani
,,,Katapuldra,,,,Galar-Lavados,,,,Feelinara,,,,Frosdedje,,,,Damhirplex,,,,Magearna,,,,,Grandiras
,,,Knakrack,,,,Galar-Smogmog,,,,Flaminkno,,,,Fruyal,,,,Damythir,,,,Mewtu,,,,,Milotic
,,,Latias,,,,Gengar,,,,Florges,,,,Galar-Arktos,,,,Dedenne,,,,Miraidon,,,,,Eisenhals
,,,Latios,,,,Grandiras,,,,Galar-Lahmus,,,,Gastrodon,,,,Digdri,,,,Monetigo,,,,,Katapuldra
,,,Liberlo,,,,Granforgita,,,,Garados,,,,Granbull,,,,Dodri,,,,Necrozma-Abendmähne,,,,,Skelabra
,,,Lohgock,,,,Hisui-Admurai,,,,Glurak,,,,Halupenjo,,,,Dragonir,,,,Necrozma-Morgenschwingen,,,,,Demeteros-Therian
,,,Lumiflora,,,,Hisui-Arkani,,,,Grypheldis,,,,Hisui-Lektrobal,,,,Drapfel,,,,Necrozma-Ultra,,,,,Donnersichel
,,,Manaphy,,,,Hisui-Dressella,,,,Guardevoir,,,,Horrerba,,,,Draschel,,,,Ogerpon-Feuer,,,,,Arktilas
,,,Maskagato,,,,Hisui-Tornupto,,,,Hariyama,,,,Humanolith,,,,Dummisel,,,,Palkia,,,,,Panzaeron
,,,Mew,,,,Hisui-Viscogon,,,,Heiteira,,,,Hundemon,,,,Duodino,,,,Phantoross,,,,,Kobalium
,,,Necrozma,,,,Hisui-Zoroark,,,,Hippoterus,,,,Illumise,,,,Elevoltek,,,,Rayquaza,,,,,Sandfell
,,,Ogerpon,,,,Hydrapfel,,,,Hisui-Baldorfish,,,,Intelleon,,,,Entoron,,,,Reshiram,,,,,Trikephalo
,,,Ogerpon-Gestein,,,,Impoleon,,,,Hisui-Silvarro,,,,Kapoera,,,,Firnontor,,,,Shaymin-Zenit,,,,,Riesenzahn
,,,Ogerpon-Wasser,,,,Infamomo,,,,Hisui-Washakwil,,,,Keifel,,,,Flamara,,,,Solgaleo,,,,,Snieboss
,,,Pelipper,,,,Keldeo,,,,Hoopa,,,,Kicklee,,,,Folipurba,,,,Terapagos,,,,,Infamomo
,,,Psiopatra,,,,Krarmor,,,,Impergator,,,,Knattatox,,,,Fragunz-m,,,,Ursaluna-Blutmond,,,,,Kolowal
,,,Quajutsu,,,,Kriechflügel,,,,Irokex,,,,Knirfish,,,,Friedwuff,,,,Wulaosu-Fließend,,,,,Demeteros
,,,Qurtel,,,,Laschoking,,,,Kamalm,,,,Kokowei,,,,Frigometri,,,,Wulaosu-Fokussiert,,,,,Snibunna
,,,Ramoth,,,,Mamolida,,,,Kapilz,,,,Kommandutan,,,,Geowaz,,,,Yuyu,,,,,Metagross
,,,Riesenzahn,,,,Mamutel,,,,Kappalores,,,,Kramurx,,,,Gewaldro,,,,Zacian,,,,,Liberlo
,,,Saltigant,,,,Maxax,,,,Kobalium,,,,Krawell,,,,Giflor,,,,Zamazenta,,,,,Tengulist
,,,Skorgro,,,,Meistagrif,,,,Kolowal,,,,Lanturn,,,,Glaziola,,,,Zekrom,,,,,Lavados
,,,Snieboss,,,,Metagross,,,,Krebutack,,,,Letarking,,,,Golgantes,,,,,,,,,Feelinara
,,,Ursaluna,,,,Olangaar,,,,Lahmus,,,,Libelldra,,,,Groink,,,,,,,,,Toxiquak
,,,Voltolos,,,,Pamomamo,,,,Lavados,,,,Magmar,,,,Hisui-Arktilas,,,,,,,,,Despotar
,,,Windewoge,,,,Panferno,,,,Lextremo,,,,Magneton,,,,Hisui-Sniebel,,,,,,,,,Keldeo
,,,Zapdos,,,,Pixi,,,,Lucario,,,,Mastifioso,,,,Hisui-Viscargot,,,,,,,,,Volcanion
,,,,,,,Porygon2,,,,Magnezone,,,,Meditalis,,,,Honweisel,,,,,,,,,Boreos-Therian
,,,,,,,Primarene,,,,Meloetta,,,,Meteno,,,,Hypno,,,,,,,,,Ogerpon
,,,,,,,Quaxo,,,,Milotic,,,,Miezunder,,,,Jugong,,,,,,,,,Latios
,,,,,,,Raikou,,,,Mimigma,,,,Montecarbo,,,,Kickerlo,,,,,,,,,Hisui-Arktilas
,,,,,,,Regieleki,,,,Mopex,,,,Morlord,,,,Klibbe,,,,,,,,,Rotom-Wash
,,,,,,,Rotom-Wash,,,,Mortipot,,,,Olithena,,,,Knarksel,,,,,,,,,Fatalitcha
,,,,,,,Salmagnis-m,,,,Myriador,,,,Omot,,,,Knuddeluff,,,,,,,,,Maskagato
,,,,,,,Salmagnis-w,,,,Nachtara,,,,Paldea-Tauros Gefecht,,,,Koalelu,,,,,,,,,Granforgita
,,,,,,,Scherox,,,,Nigiragi,,,,Pampross,,,,Kramshef,,,,,,,,,Gladimperio
,,,,,,,Serpiroyal,,,,Paldea-Tauros Flammen,,,,Papungha,,,,Krawalloro,,,,,,,,,Hoopa-Entfesselt
,,,,,,,Servol-m,,,,Paldea-Tauros Flut,,,,Patinaraja,,,,Kronjuwild,,,,,,,,,Rabigator
,,,,,,,Servol-w,,,,Panzaeron,,,,Piepi,,,,Kryppuk,,,,,,,,,Hisui-Arkani
,,,,,,,Silembrim,,,,Polaross,,,,Pokusan,,,,Kubuin,,,,,,,,,Mew
,,,,,,,Skelokrok,,,,Porygon-Z,,,,Psiaugon-Männlich,,,,Lapras,,,,,,,,,Gortrom
,,,,,,,Snibunna,,,,Rabigator,,,,Quartermak,,,,Legios,,,,,,,,,Deoxys-Geschwindigkeit
,,,,,,,Stalobor,,,,Regidrago,,,,Raichu,,,,Lektrobal,,,,,,,,,Zapdos
,,,,,,,Suicune,,,,Registeel,,,,Rasaff,,,,Liebiskus,,,,,,,,,Galar-Laschoking
,,,,,,,Terrakium,,,,Relaxo,,,,Regigigas,,,,Lumineon,,,,,,,,,Ursaring
,,,,,,,Tobutz,,,,Resladero,,,,Regirock,,,,Luxtra,,,,,,,,,Donphan
,,,,,,,Trikephalo,,,,Riffex,,,,Rexblisar,,,,Magbrant,,,,,,,,,Crimanzo
,,,,,,,Volcanion,,,,Rihornior,,,,Rizeros,,,,Magcargo,,,,,,,,,Porygon-Z
,,,,,,,Voltolos-Therian,,,,Rotom-Heat,,,,Rotom,,,,Magnayen,,,,,,,,,Vesprit
,,,,,,,Vulnona,,,,Rotom-Mow,,,,Sanaconda,,,,Manguspektor,,,,,,,,,Voltolos-Therian
,,,,,,,Wie-Shu,,,,Sandfell,,,,Schlapfel,,,,Mantidea,,,,,,,,,Eisenfalter
,,,,,,,Wolwerock-Zwielicht,,,,Schlurm,,,,Siberio,,,,Maskeregen,,,,,,,,,Jirachi
,,,,,,,Wutpilz,,,,Seedraking,,,,Sichlor,,,,Matrifol,,,,,,,,,Stalobor
,,,,,,,Zarude,,,,Selfe,,,,Silvarro,,,,Mauzinger,,,,,,,,,Chillabell
,,,,,,,Zytomega,,,,Shaymin,,,,Skorgla,,,,Mediras,,,,,,,,,Registeel
,,,,,,,,,,,Skaraborn,,,,Sniebel,,,,Meganie,,,,,,,,,Cupidos-Therian
,,,,,,,,,,,Skelabra,,,,Strepoli,,,,Minun,,,,,,,,,Fruyal
,,,,,,,,,,,Smogmog,,,,Tauros,,,,Mogelbaum,,,,,,,,,Mimigma
,,,,,,,,,,,Staraptor,,,,Tengulist,,,,Morbitesse,,,,,,,,,Hisui-Admurai
,,,,,,,,,,,Suelord,,,,Tenterra,,,,Morpeko,,,,,,,,,Alola-Snobilikat
,,,,,,,,,,,Sumpex,,,,Toxiquak,,,,Mottineva,,,,,,,,,Diancie
,,,,,,,,,,,Tandrak,,,,Traunmagil,,,,Nockchan,,,,,,,,,Bailonda
,,,,,,,,,,,Tentoxa,,,,Urgl,,,,Noctuh,,,,,,,,,Cresselia
,,,,,,,,,,,Tornupto,,,,Ursaring,,,,Noktuska,,,,,,,,,Calamanero
,,,,,,,,,,,Turtok,,,,Vesprit,,,,Pachirisu,,,,,,,,,Kapoera
,,,,,,,,,,,UHaFnir,,,,Viridium,,,,Palimpalim,,,,,,,,,Rotom-Heat
,,,,,,,,,,,Viscogon,,,,Vivillon,,,,Pelzebub,,,,,,,,,Beatori
,,,,,,,,,,,Voltrean,,,,Volbeat,,,,Phandra,,,,,,,,,Laschoking
,,,,,,,,,,,Washakwil,,,,Voltula,,,,Phione,,,,,,,,,Regieleki
,,,,,,,,,,,Yanmega,,,,Wampitz,,,,Pikachu,,,,,,,,,Cupidos
,,,,,,,,,,,Zobiris,,,,Wolwerock-Nacht,,,,Pliprin,,,,,,,,,Panferno
,,,,,,,,,,,Zoroark,,,,Wolwerock-Tag,,,,Plusle,,,,,,,,,Krarmor
,,,,,,,,,,,Zwirrklop,,,,Zapplarang,,,,Porygon,,,,,,,,,Pampross
,,,,,,,,,,,,,,,Zwirrfinst,,,,Psiana,,,,,,,,,Curelei
,,,,,,,,,,,,,,,,,,,Psiaugon-Weiblich,,,,,,,,,Entei
,,,,,,,,,,,,,,,,,,,Pyroleo,,,,,,,,,Zytomega
,,,,,,,,,,,,,,,,,,,Quappo,,,,,,,,,Dragoran
,,,,,,,,,,,,,,,,,,,Rameidon,,,,,,,,,UHaFnir
,,,,,,,,,,,,,,,,,,,Regice,,,,,,,,,Raikou
,,,,,,,,,,,,,,,,,,,Rocara,,,,,,,,,Trombork
,,,,,,,,,,,,,,,,,,,Rokkaiman,,,,,,,,,Golgantes
,,,,,,,,,,,,,,,,,,,Rotom-Fan,,,,,,,,,Galar-Lahmus
,,,,,,,,,,,,,,,,,,,Rotom-Frost,,,,,,,,,Axantor
