video_id,video_url,title,video_type,match_status,confidence,confidence_tier,match_basis,confidence_explanation,detected_season_id,detected_week,source_urls,review_reason
-tMaHJBDIyE,https://www.youtube.com/watch?v=-tMaHJBDIyE,Showdown der Sumolegenden - GPL [S6] - Playoffs - Halbfinale - vs. Pokebassis | Dauni,game,matched,75,medium,"season,stage,channel",matched season season_006; playoff title matched playoff match; channel identifies Maxi von Vogel,season_006,,https://www.youtube.com/watch?v=-tMaHJBDIyE;https://www.youtube.com/user/TeamMauni,low_or_medium_match_confidence
YLKTJpRBw2E,https://www.youtube.com/watch?v=YLKTJpRBw2E,Wer kommt ins Finale? | GPL [S6] - Halbfinale - vs. Lazycakes,game,matched,75,medium,"season,stage,title",matched season season_006; playoff title matched playoff match; title names Maxi von Vogel as opponent,season_006,,https://www.youtube.com/watch?v=YLKTJpRBw2E;https://www.youtube.com/c/PokeBazi,low_or_medium_match_confidence
ohXDU-SP2BU,https://www.youtube.com/watch?v=ohXDU-SP2BU,GPL [S6] - Playoffs - Finale - vs. Lazycakes: Statische Anspannung!,game,matched,75,medium,"season,stage,title",matched season season_006; playoff title matched playoff match; title names Maxi von Vogel as opponent,season_006,,https://www.youtube.com/watch?v=ohXDU-SP2BU;https://www.youtube.com/c/BarryDSinOfSpeed,low_or_medium_match_confidence
uy6-ULd5nXM,https://www.youtube.com/watch?v=uy6-ULd5nXM,Und der Sieger ist... - GPL [S6] - Playoffs - Finale - vs. Nova Dragons | Mauni,game,matched,75,medium,"season,stage,channel",matched season season_006; playoff title matched playoff match; channel identifies Maxi von Vogel,season_006,,https://www.youtube.com/watch?v=uy6-ULd5nXM;https://www.youtube.com/user/TeamMauni,low_or_medium_match_confidence
fWds0mnnKSI,https://www.youtube.com/watch?v=fWds0mnnKSI,[GPL S7] Das FINALE | Spieltag #13: vs. Aggron Berlin (Tabasco),game,matched,75,medium,"season,stage,channel",matched season season_007; playoff title matched playoff match; channel identifies Nestfloh,season_007,,https://www.youtube.com/watch?v=fWds0mnnKSI;https://www.youtube.com/user/ElcioBuchLP,low_or_medium_match_confidence
1qhWXzVUPHE,https://www.youtube.com/watch?v=1qhWXzVUPHE,Dieser Kampf entscheidet ALLES! - GPL [S10] - Halbfinale,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies PresentLP,season_010,,https://www.youtube.com/watch?v=1qhWXzVUPHE;https://www.youtube.com/@PresPres,low_or_medium_match_confidence
AEPsRe8SRpE,https://www.youtube.com/watch?v=AEPsRe8SRpE,GPL [S10] - MATCHDAY 13 vs. @Snomnie - WHAT A FINALE!,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies Raizor,season_010,,https://www.youtube.com/watch?v=AEPsRe8SRpE;https://www.youtube.com/@RaizorDATA,low_or_medium_match_confidence
a0AEulfDU1Q,https://www.youtube.com/watch?v=a0AEulfDU1Q,GPL [S10] - QUARTERFINAL vs. @Flobert - IT HAD TO END LIKE THIS...,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies Raizor,season_010,,https://www.youtube.com/watch?v=a0AEulfDU1Q;https://www.youtube.com/@RaizorDATA,low_or_medium_match_confidence
Dd9whxBuLbA,https://www.youtube.com/watch?v=Dd9whxBuLbA,ICH BIN IM GPL SEASON 10 FINALE! WAS JETZT?,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies Raizor,season_010,,https://www.youtube.com/watch?v=Dd9whxBuLbA;https://www.youtube.com/@RaizorDATA,low_or_medium_match_confidence
WlsPXhuE4NQ,https://www.youtube.com/watch?v=WlsPXhuE4NQ,IS THAT ENOUGH FOR THE PLAYOFFS? - GPL [S10] Matchday 12 (VGC) VS @Minetube13,game,matched,75,medium,"season,stage,title",matched season season_010; playoff title matched playoff match; title names Minetube as opponent,season_010,,https://www.youtube.com/watch?v=WlsPXhuE4NQ;https://www.youtube.com/@domjiii,low_or_medium_match_confidence
dh3JjeIM94o,https://www.youtube.com/watch?v=dh3JjeIM94o,Mein krassester GPL Kampf JEMALS! - GPL [S10] - Spiel um Platz 3,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies PresentLP,season_010,,https://www.youtube.com/watch?v=dh3JjeIM94o;https://www.youtube.com/@PresPres,low_or_medium_match_confidence
-jzXtdjArRU,https://www.youtube.com/watch?v=-jzXtdjArRU,There's no turning back now! 💥 GPL Playoff Quarterfinals vs. @RaizorDATA,game,matched,75,medium,"stage,channel,title,both_sides",matched season season_010 from normalized match; playoff title matched playoff match; channel identifies Nestfloh; title names Raizor as opponent; channel and title identify opposite sides,season_010,,https://www.youtube.com/watch?v=-jzXtdjArRU;https://www.youtube.com/@Flobert,low_or_medium_match_confidence
3qRZargdlRo,https://www.youtube.com/watch?v=3qRZargdlRo,Welches Pokémon hält MEHR aus? - GPL [S10] - Viertelfinale,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies PresentLP,season_010,,https://www.youtube.com/watch?v=3qRZargdlRo;https://www.youtube.com/@PresPres,low_or_medium_match_confidence
OGQHxlvhqYg,https://www.youtube.com/watch?v=OGQHxlvhqYg,GPL [S10] Kampf um Platz 3 - VS @PresPres: Ein letztes Mal.,game,matched,75,medium,"season,stage,channel",matched season season_010; playoff title matched playoff match; channel identifies Minetube,season_010,,https://www.youtube.com/watch?v=OGQHxlvhqYg;https://www.youtube.com/user/Minetube13;https://www.youtube.com/@Minetube13,low_or_medium_match_confidence
