sheet_id,status,workbook_title,source_url,seen_in_channels,sample_video_title,review_reason
1_MmFy8aDFGnZNXCjgNtBezV3Oi7BJECFbAGPFi7aB2M,available, IPL YTL 2,https://docs.google.com/spreadsheets/d/1_MmFy8aDFGnZNXCjgNtBezV3Oi7BJECFbAGPFi7aB2M/edit,uc14hk73g_dl8dqlthpmivwq;ucz2bgm4qej7nxsedsnr6f1a,Ihr kriegt was ihr verdient! 😇😬 ★ vs. @RudelrockerRene [ IPL S02/ST07 ],sheet_url_in_video_description_never_fetched
1QBMBbdH8QVXev3WDK2veTuJfIn59JUbxY0HPtBci93s,available,"""Back to Basic""-Turnier (NAD BTB9 S1)",https://docs.google.com/spreadsheets/d/1QBMBbdH8QVXev3WDK2veTuJfIn59JUbxY0HPtBci93s/edit,ucvsnlr5y3npa_9fcfs5heew,Das große FINALE | Back to Basic - Turnier,sheet_url_in_video_description_never_fetched
1cQnkIDFv8q4Igx2V55RPfqCmJtHSlvvHgcQFRuZ-bI8,available,"""Weather Unleashed""-Turnier",https://docs.google.com/spreadsheets/d/1cQnkIDFv8q4Igx2V55RPfqCmJtHSlvvHgcQFRuZ-bI8/edit,ucvsnlr5y3npa_9fcfs5heew,Das Finale des Weather Unleashed-Turniers,sheet_url_in_video_description_never_fetched
1vp9RxbzT0ZfLW_qvtzgfSc8WZ-6GvnBrGAhbgcxuDV4,available,[PML-Season 1] - Official Document,https://docs.google.com/spreadsheets/d/1vp9RxbzT0ZfLW_qvtzgfSc8WZ-6GvnBrGAhbgcxuDV4/edit,uckeehak_dpei11ykalqczrq,Die letzte Chance! | [PML Spieltag 11],sheet_url_in_video_description_never_fetched
1Iax99cOhKRRuLJHlO6Wn6Cwt1sImv03hgoKtcSHiZFA,available,AB3 - Regelwerk,https://docs.google.com/spreadsheets/d/1Iax99cOhKRRuLJHlO6Wn6Cwt1sImv03hgoKtcSHiZFA/edit,uc14hk73g_dl8dqlthpmivwq,Die KAMPF-KASTANIE und das TROMMEL-FIEBER! ◈ Arena Battle III #02 [Pflanzen-Arena],sheet_url_in_video_description_never_fetched
1CPi6wLktcvzfkDTwurAFfcU6TLWD2wBgZbdSAvHUMwM,available,"Alle gegen Present - Tierliste, Draftreihenfolge",https://docs.google.com/spreadsheets/d/1CPi6wLktcvzfkDTwurAFfcU6TLWD2wBgZbdSAvHUMwM/edit,uceki0pa1r6tz8cdaypgugyg;ucgjopll_4nritmusnmk_9zg,Da ist ja kein Poyrgon2 - Alle gegen Present - Team Building - vs. Gaius - [08],sheet_url_in_video_description_never_fetched
1x4roVTtXGkF1ay4RNdtl715te6EDbc18BlhXmGuVxhY,available,ASPL 4 Liga 2,https://docs.google.com/spreadsheets/d/1x4roVTtXGkF1ay4RNdtl715te6EDbc18BlhXmGuVxhY/edit,uc0tnejt5pvgm2_dm_pxj21w;uckeehak_dpei11ykalqczrq;ucxw9kufbp4az1uppsfgtolw,"Wird es WIEDER der ZWEITE PLATZ - ASPL [Season 4, Liga 1] - FINALE vs @barryd96",sheet_url_in_video_description_never_fetched
1V7kUA8VJM6wOFYIAYuGZfn6gdAh50bMntrOut9Bk8u4,available,ASPL Season 2,https://docs.google.com/spreadsheets/d/1V7kUA8VJM6wOFYIAYuGZfn6gdAh50bMntrOut9Bk8u4/edit,uctkpjnyh1z6qrbesx0py2fq;ucubgus9lvyrtb849adla1rw;ucxw9kufbp4az1uppsfgtolw,ASPL[S2] Liga 1 - Spieltag 09 - vs  Schweini - Willkommen in Pivotport City!,sheet_url_in_video_description_never_fetched
1NWgfI5Jur6rNDwFIBUQaY12ssyT5V6g1jaO11Nl9vOg,available,ASPL Season 3 Liga 1,https://docs.google.com/spreadsheets/d/1NWgfI5Jur6rNDwFIBUQaY12ssyT5V6g1jaO11Nl9vOg/edit,uckeehak_dpei11ykalqczrq;uctkpjnyh1z6qrbesx0py2fq;ucubgus9lvyrtb849adla1rw;ucxw9kufbp4az1uppsfgtolw,ASPL [Liga 1] | Spieltag 11 vs. @KingBlex  | Joa...schönes Wetter heute oder?,sheet_url_in_video_description_never_fetched
176pOKIoLo8pP4lh6cF-v4-Pfih_Yy7Q20SuZuVurfVk,available,ASPL Season 3 Liga 2,https://docs.google.com/spreadsheets/d/176pOKIoLo8pP4lh6cF-v4-Pfih_Yy7Q20SuZuVurfVk/edit,uckeehak_dpei11ykalqczrq;uctkpjnyh1z6qrbesx0py2fq;ucubgus9lvyrtb849adla1rw;ucxw9kufbp4az1uppsfgtolw,ASPL [Liga 1] | Spieltag 11 vs. @KingBlex  | Joa...schönes Wetter heute oder?,sheet_url_in_video_description_never_fetched
1zhY6e4WJoOc_n1bJW5d1-JM7NCflXDPMWYrbSXIWvcs,available,ASPL Tier Liste,https://docs.google.com/spreadsheets/d/1zhY6e4WJoOc_n1bJW5d1-JM7NCflXDPMWYrbSXIWvcs/edit,uctkpjnyh1z6qrbesx0py2fq,[ASPL S1] RIP Wulaosu | Spieltag #14: vs. Panix,sheet_url_in_video_description_never_fetched
1ui47K_8Gvj8DFkS1VSz4xJm0bL5BuWBF9PYMgdg7zkc,available,ASPL VGC League,https://docs.google.com/spreadsheets/d/1ui47K_8Gvj8DFkS1VSz4xJm0bL5BuWBF9PYMgdg7zkc/edit,uctkpjnyh1z6qrbesx0py2fq,Farbeagle der Schmutzige -  ASPL VGC - Viertelfinale vs Shinystar,sheet_url_in_video_description_never_fetched
1rKOqbJM8K7XqNWSHMiaRI1ZqrEcibOZYfSqWBS1pVPg,available,Baby League Fandoc,https://docs.google.com/spreadsheets/d/1rKOqbJM8K7XqNWSHMiaRI1ZqrEcibOZYfSqWBS1pVPg/edit,ucarerejf2zazibztti4vmaw,"Baby League FINALS - vs. Borussia Donphan - ""Paralysierende Spannung""",sheet_url_in_video_description_never_fetched
13WF0fA2DuJFdPh1aD3KMmV1fS7neTON9EM6cIthnCw8,available,Baby Pokémon Plateau - [S1],https://docs.google.com/spreadsheets/d/13WF0fA2DuJFdPh1aD3KMmV1fS7neTON9EM6cIthnCw8/edit,ucarerejf2zazibztti4vmaw;ucgjopll_4nritmusnmk_9zg;ucj8y8nmqyyvuw8wooibgp0g;ucuaghsjwxrcutywhotrweeg;ucyevwqnpmkcyqlucnzerdaa,BPP [S1] - Spieltag 06 - vs. LazyCakes: Oh Junge!,sheet_url_in_video_description_never_fetched
114Ky3PW9aQQOFEEe4UyK-rccJT0RTShXUhOfchmovY4,available,Baby Pokémon Plateau - [S2],https://docs.google.com/spreadsheets/d/114Ky3PW9aQQOFEEe4UyK-rccJT0RTShXUhOfchmovY4/edit,uc0tnejt5pvgm2_dm_pxj21w;uc9yqk42jqgnwyjczcpmgedq;ucgjopll_4nritmusnmk_9zg;ucigpf_qa1qagv0xg2o5_6rq;uckgdtvvwnwu2medumv1v4pq;ucubgus9lvyrtb849adla1rw;ucwpw7yn2wcg1sek_09viuhg;ucz2bgm4qej7nxsedsnr6f1a,Und der Zweite wird...? - BPP [S2] Finale vs. Wardribies,sheet_url_in_video_description_never_fetched
1EfGMctQJzLuZmEB4m9Sk45TcX6Z6Ih2S-wWJItsIMgU,available,Barry´s Let´s Go Liga,https://docs.google.com/spreadsheets/d/1EfGMctQJzLuZmEB4m9Sk45TcX6Z6Ih2S-wWJItsIMgU/edit,uc88v_x5lbes2qhlwkfjqaeg;ucj8y8nmqyyvuw8wooibgp0g;uckeehak_dpei11ykalqczrq,Pokemon BLGL S2 Spieltage 09 & 10: And the Winner is?,sheet_url_in_video_description_never_fetched
19C15qpARuhi9sPMfFm40XRvLLa54CQD2P2A7JvDG4ZU,available,BDT Oras Liga,https://docs.google.com/spreadsheets/d/19C15qpARuhi9sPMfFm40XRvLLa54CQD2P2A7JvDG4ZU/edit,uckeehak_dpei11ykalqczrq,It is raining Man...aphy! - BDT [S6] [ORAS] - Spieltag 3 vs. Elekid`s Club,sheet_url_in_video_description_never_fetched
1Yoj7BiIsrwnkxXupQ27YKHIqEjChJrGHyunnY_gnhiU,available,BRL - Battle Revolution League,https://docs.google.com/spreadsheets/d/1Yoj7BiIsrwnkxXupQ27YKHIqEjChJrGHyunnY_gnhiU/edit,ucgjopll_4nritmusnmk_9zg;ucvciqcejxirj1kgswdxgqyw;ucwpw7yn2wcg1sek_09viuhg,Verzerrtes Kolosseum! - Battle Revolution League [BRL] - Spieltag 5 - vs. Snowstorm,sheet_url_in_video_description_never_fetched
1p6VxaRbLk6yi8I-I7G_k-ayu-5MsYRdH7_3qz3FKUsU,available,BRL S2 - Battle Revolution League,https://docs.google.com/spreadsheets/d/1p6VxaRbLk6yi8I-I7G_k-ayu-5MsYRdH7_3qz3FKUsU/edit,uc0tnejt5pvgm2_dm_pxj21w;ucvciqcejxirj1kgswdxgqyw;ucwpw7yn2wcg1sek_09viuhg;ucxj5whew7vz8zr_srmt8q2a;ucz2bgm4qej7nxsedsnr6f1a,Mal wieder in die SUPPE SPUCKEN - BRL [S2] Spieltag 07 vs.  Youngstars,sheet_url_in_video_description_never_fetched
1DN_6pglFKzxrdQSgAfQPq-jE3u4N0G_HXHfVQ1AWraE,available,Champions Speed Tiers,https://docs.google.com/spreadsheets/d/1DN_6pglFKzxrdQSgAfQPq-jE3u4N0G_HXHfVQ1AWraE/edit,ucdgmk4tcz2k7kftc2c6gzeg,Alle Movepool-Änderungen in Pokémon Champions!,sheet_url_in_video_description_never_fetched
